SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Z Scores
19437-61,3,SL021823,Isoform L-VEGF165,L-VEGF165,P15692,7422,VEGFA,17.65791961
23553-1,3,SL015302,ABI gene family member 3,ABI3,Q9P2A4,51225,ABI3,16.23736271
17408-2,3,SL020888,Phosphomannomutase 1,PMM1,Q92871,5372,PMM1,15.64385432
5076-53,2,SL014294,Ephrin type-A receptor 10,EPHAA,Q5JZY3,284656,EPHA10,14.94469971
9739-4,3,SL019140,DNA mismatch repair protein Msh2,MSH2,P43246,4436,MSH2,14.52092153
22367-17,3,SL023052,UPF0705 protein C11orf49,CK049,Q9H6J7,79096,C11orf49,13.56092438
21475-137,3,SL012990,Thioredoxin-like protein 1,TXNL1,O43396,9352,TXNL1,13.3044853
25087-11,3,SL023578,Dystrobrevin alpha,DTNA,Q9Y4J8,1837,DTNA,11.81760871
2769-3,2,SL000445,Protein Rev_HV2BE,HIV-2 Rev,P18093,1724716,rev,10.63854522
11179-7,3,SL006717,Testis-specific serine/threonine-protein kinase 1,TSSK1,Q9BXA7,83942,TSSK1B,9.965712752
22147-19,3,SL022771,Forkhead box protein O4,FOXO4,P98177,4303,FOXO4,9.864314143
18841-1,3,SL008432,Serpin B13,SPB13,Q9UIV8,5275,SERPINB13,9.223720358
14688-6,3,SL020212,Tyrosine-protein phosphatase non-receptor type 7,PTN7,P35236,5778,PTPN7,9.080864873
7713-50,3,SL018148,Fragile X mental retardation protein 1,FMR1,Q06787,2332,FMR1,8.280917125
22540-129,3,SL009444,Proteasome subunit beta type 7,PSB7,Q99436,5695,PSMB7,8.145774397
12737-12,3,SL015520,Plastin-1,PLSI,Q14651,5357,PLS1,8.090408047
12568-14,3,SL017529,Kelch-like ECH-associated protein 1,KEAP1,Q14145,9817,KEAP1,8.082582601
25416-5,3,SL008298,Periaxin,PRAX,Q9BXM0,57716,PRX,7.888379436
2915-6,2,SL000131,Proliferating cell nuclear antigen,PCNA,P12004,5111,PCNA,7.645708953
8891-7,3,SL008949,Probable serine carboxypeptidase CPVL,CPVL,Q9H3G5,54504,CPVL,6.872871756
14186-13,3,SL019795,E3 ubiquitin-protein ligase rififylin,RFFL,Q8WZ73,117584,RFFL,6.664324744
22588-35,3,SL021524,Adhesion G protein-coupled receptor B2,AGRB2,O60241,576,ADGRB2,6.556918709
4961-17,1,SL004209,Annexin A2,annexin II,P07355,302,ANXA2,6.48439838
23306-37,3,SL023522,Polyamine-modulated factor 1,PMF1,Q6P1K2,100527963,PMF1,6.08939941
19260-4,3,SL011152,PDZ domain-containing protein GIPC1,GIPC1,O14908,10755,GIPC1,5.745080126
17372-5,3,SL010108,Eukaryotic translation initiation factor 4E-binding protein 1,4EBP1,Q13541,1978,EIF4EBP1,5.708673849
21755-27,3,SL022670,Ubiquitin carboxyl-terminal hydrolase 12,UBP12,O75317,219333,USP12,5.699921922
5178-5,3,SL011406,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",PDE7A,Q13946,5150,PDE7A,5.657105396
22143-6,3,SL022934,F-box only protein 28,FBX28,Q9NVF7,23219,FBXO28,5.522891944
4128-27,2,SL003104,C-C motif chemokine 24,Eotaxin-2,O00175,6369,CCL24,5.420709623
